phase,dataset,seed,rounds,num_clients,clients_per_round,attack,defense,non_iid,alpha,malicious_ratio,ablation,batch_size,max_train_samples,max_test_samples,run_id,output_dir,expected_csv
cifar_seed_extension,cifar10,44,20,20,10,gaussian_noise,cosine,True,0.5,0.2,full,64,10000,2000,cifar10_cosine_gaussian_noise_noniid_a0.5_mr0.2_full_seed44,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\gaussian_noise,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\gaussian_noise\cifar10_cosine_gaussian_noise_noniid_a0.5_mr0.2_full_seed44.csv
cifar_seed_extension,cifar10,44,20,20,10,gaussian_noise,trustfl_chain,True,0.5,0.2,full,64,10000,2000,cifar10_trustfl_chain_gaussian_noise_noniid_a0.5_mr0.2_full_seed44,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\gaussian_noise,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\gaussian_noise\cifar10_trustfl_chain_gaussian_noise_noniid_a0.5_mr0.2_full_seed44.csv
cifar_seed_extension,cifar10,44,20,20,10,model_scaling,fedavg,True,0.5,0.2,full,64,10000,2000,cifar10_fedavg_model_scaling_noniid_a0.5_mr0.2_full_seed44,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\model_scaling,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\model_scaling\cifar10_fedavg_model_scaling_noniid_a0.5_mr0.2_full_seed44.csv
cifar_seed_extension,cifar10,44,20,20,10,model_scaling,trimmed_mean,True,0.5,0.2,full,64,10000,2000,cifar10_trimmed_mean_model_scaling_noniid_a0.5_mr0.2_full_seed44,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\model_scaling,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\model_scaling\cifar10_trimmed_mean_model_scaling_noniid_a0.5_mr0.2_full_seed44.csv
cifar_seed_extension,cifar10,44,20,20,10,model_scaling,cosine,True,0.5,0.2,full,64,10000,2000,cifar10_cosine_model_scaling_noniid_a0.5_mr0.2_full_seed44,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\model_scaling,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\model_scaling\cifar10_cosine_model_scaling_noniid_a0.5_mr0.2_full_seed44.csv
cifar_seed_extension,cifar10,44,20,20,10,model_scaling,trustfl_chain,True,0.5,0.2,full,64,10000,2000,cifar10_trustfl_chain_model_scaling_noniid_a0.5_mr0.2_full_seed44,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\model_scaling,results\final_artifacts\new_runs\cifar_seed_extension\cifar10\model_scaling\cifar10_trustfl_chain_model_scaling_noniid_a0.5_mr0.2_full_seed44.csv
history_cosine_baseline,fashion_mnist,42,30,20,10,gaussian_noise,history_cosine,True,0.5,0.2,full,64,10000,2000,fashion_mnist_history_cosine_gaussian_noise_noniid_a0.5_mr0.2_full_seed42,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\gaussian_noise,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\gaussian_noise\fashion_mnist_history_cosine_gaussian_noise_noniid_a0.5_mr0.2_full_seed42.csv
history_cosine_baseline,fashion_mnist,42,30,20,10,model_scaling,history_cosine,True,0.5,0.2,full,64,10000,2000,fashion_mnist_history_cosine_model_scaling_noniid_a0.5_mr0.2_full_seed42,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\model_scaling,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\model_scaling\fashion_mnist_history_cosine_model_scaling_noniid_a0.5_mr0.2_full_seed42.csv
history_cosine_baseline,fashion_mnist,43,30,20,10,gaussian_noise,history_cosine,True,0.5,0.2,full,64,10000,2000,fashion_mnist_history_cosine_gaussian_noise_noniid_a0.5_mr0.2_full_seed43,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\gaussian_noise,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\gaussian_noise\fashion_mnist_history_cosine_gaussian_noise_noniid_a0.5_mr0.2_full_seed43.csv
history_cosine_baseline,fashion_mnist,43,30,20,10,model_scaling,history_cosine,True,0.5,0.2,full,64,10000,2000,fashion_mnist_history_cosine_model_scaling_noniid_a0.5_mr0.2_full_seed43,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\model_scaling,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\model_scaling\fashion_mnist_history_cosine_model_scaling_noniid_a0.5_mr0.2_full_seed43.csv
history_cosine_baseline,fashion_mnist,44,30,20,10,gaussian_noise,history_cosine,True,0.5,0.2,full,64,10000,2000,fashion_mnist_history_cosine_gaussian_noise_noniid_a0.5_mr0.2_full_seed44,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\gaussian_noise,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\gaussian_noise\fashion_mnist_history_cosine_gaussian_noise_noniid_a0.5_mr0.2_full_seed44.csv
history_cosine_baseline,fashion_mnist,44,30,20,10,model_scaling,history_cosine,True,0.5,0.2,full,64,10000,2000,fashion_mnist_history_cosine_model_scaling_noniid_a0.5_mr0.2_full_seed44,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\model_scaling,results\final_artifacts\new_runs\history_cosine_baseline\fashion_mnist\model_scaling\fashion_mnist_history_cosine_model_scaling_noniid_a0.5_mr0.2_full_seed44.csv
